,neighborhood,avg(reviews),avg(overall_satisfaction),avg(price),max(reviews),min(reviews),max(price),min(price)
0,Allston,10.31400966183575,4.6644625129377015,100.01932367149759,118,0,550.0,20.0
1,Back Bay,11.296819787985866,4.653864806283053,237.51590106007066,283,0,1372.0,41.0
2,Bay Village,10.947368421052632,4.558958947919827,254.1578947368421,47,0,1200.0,81.0
3,Beacon Hill,17.8,4.630351735680795,215.90731707317073,214,0,849.0,42.0
4,Brighton,13.25,4.67079331820034,113.95555555555555,152,0,999.0,10.0
5,Charlestown,24.43076923076923,4.761856791715358,228.53846153846155,198,0,1000.0,55.0
6,Chinatown,11.909090909090908,4.6694699747607045,254.92727272727274,172,0,600.0,92.0
7,Dorchester,25.0,4.577677012397417,91.575,262,0,395.0,30.0
8,Downtown,14.671052631578947,4.663698271346256,241.18421052631578,188,0,1000.0,38.0
9,East Boston,28.53174603174603,4.590960113746914,115.48412698412699,281,0,300.0,35.0
10,Fenway,8.094594594594595,4.632383234465479,218.77027027027026,223,0,4000.0,25.0
11,Hyde Park,9.615384615384615,4.689245275416047,92.57692307692308,53,0,250.0,40.0
12,Jamaica Plain,22.406349206349205,4.731121587800478,140.41587301587302,244,0,675.0,24.0
13,Leather District,9.125,4.830015715034049,342.75,27,0,571.0,159.0
14,Longwood Medical Area,52.333333333333336,4.6366771433560325,99.33333333333333,115,0,149.0,60.0
15,Mattapan,14.4,4.588017286537456,78.65,69,0,169.0,44.0
16,Mission Hill,11.346534653465346,4.603384696772456,132.16831683168317,385,0,872.0,27.0
17,North End,25.401515151515152,4.668343333809547,183.13636363636363,249,0,600.0,35.0
18,Roslindale,26.696428571428573,4.817149030906235,94.60714285714286,147,0,250.0,40.0
19,Roxbury,22.802721088435373,4.615792361994562,148.3673469387755,154,0,1400.0,28.0
20,South Boston,19.830065359477125,4.704586461789187,189.55555555555554,192,0,1000.0,47.0
21,South Boston Waterfront,6.36231884057971,4.686397764972937,337.463768115942,85,0,3000.0,95.0
22,South End,14.725609756097562,4.674828955269648,195.10670731707316,203,0,1193.0,19.0
23,West End,8.224137931034482,4.665879409692746,227.25862068965517,81,0,583.0,60.0
24,West Roxbury,11.533333333333333,4.7073511437052575,109.76666666666667,155,0,375.0,45.0
